部門,売上_目標,売上_見込,売上_差,粗利_目標,粗利_見込,粗利_差,販管費_目標,販管費_見込,販管費_差,営業利益_目標,営業利益_見込,営業利益_差
円谷プロ合計,8277,8246,-31,4867,4585,-282,2500,2603,103,2367,1981,-386
営業事業本部合計,6829,6823,-6,5157,4856,-301,945,1018,73,4212,3838,-374
ライセンス営業部,3985,3828,-157,3506,3289,-217,425,429,4,3080,2860,-220
国内MD,342,302,-40,342,283,-59,73,75,2,269,207,-62
イマジ含む国内ディス,911,904,-7,553,549,-4,57,90,33,495,459,-36
海外ディス,52,-57,-109,49,26,-23,1,68,67,49,-41,-90
中国,2680,2680,0,2562,2431,-131,294,196,-98,2268,2235,-33
新規開拓営業部,1035,1084,49,919,998,79,129,186,57,790,813,23
新規開拓（国内）,847,842,-5,780,798,18,63,92,29,717,706,-11
新規開拓（海外）,188,242,54,139,200,61,66,94,28,73,106,33
流通営業部合計（リテール）,543,591,48,283,304,21,139,145,6,144,159,15
ライブイベント部,1266,1320,54,450,265,-185,170,168,-2,280,97,-183
営業事業本部販管,0,0,0,0,0,0,82,91,9,-82,-91,-9
商品開発事業本部合計,884,858,-26,359,355,-4,256,281,25,103,74,-29
商品開発部,0,0,0,0,0,0,47,49,2,-47,-49,-2
カード開発部合計,884,858,-26,359,355,-4,209,233,24,150,123,-27
映像事業本部合計,1193,1194,1,-126,-123,3,277,258,-19,-403,-381,22
製作企画部,1182,1181,-1,0,-11,-11,199,132,-67,-199,-143,56
製作管理部,11,13,2,-126,-112,14,365,101,-264,-491,-214,277
映像事業本部（本部付け）,0,0,0,0,0,0,-287,24,311,287,-24,-311
その他合計,-629,-629,0,-524,-504,20,1022,1046,24,-1545,-1550,-5
管理本部合計,0,0,0,0,0,0,447,597,150,-447,-597,-150
総務部,0,0,0,0,0,0,93,194,101,-93,-194,-101
管理本部,0,0,0,0,0,0,325,267,-58,-325,-267,58
（参考）法務・人事・財務経理,0,0,0,0,0,0,29,135,106,-29,-135,-106
プロジェクト共通費,-629,-629,0,-524,-503,21,0,17,17,-524,-519,5
販売促進部,0,0,0,0,-2,-2,180,161,-19,-180,-162,18
事業統括本部,0,0,0,0,0,0,202,209,7,-202,-209,-7
（参考）本社共通,0,0,0,0,0,0,69,-30,-99,-69,30,99
（参考）南多摩共通,0,0,0,0,0,0,-91,-4,87,91,4,-87
（参考）取締役,0,0,0,0,0,0,116,97,-19,-116,-97,19
（参考）その他,0,0,0,0,0,0,99,0,-99,-99,0,99
