作品セグメント名,期,対象年月,売上_円,総売上原価_円,作品利益_円,作品利益率
,61,202203,0,0,-174398,
,62,202303,0,-311785,311785,
,63,202403,10397534,0,10397534,1.0
,65,202603,0,32786660,-32786660,
2038A40002,65,202603,31880000,31112000,768000,0.0241
2038A40003,65,202603,3175316,634524,551792,0.1738
2038A40007,65,202603,4513000,1751455,2761545,0.6119
2038A40009,65,202603,32910659,9689557,23221102,0.7056
2038A40011,65,202603,6735861,4908167,1827694,0.2713
2038A40014,65,202603,71321566,42119595,26760265,0.3752
2038A40015,65,202603,17015288,7955190,9060098,0.5325
2038A40016,65,202603,8645150,6899878,-1323064,-0.153
2038A40019,62,202303,4580172,706900,3873272,0.8457
2038A40019,63,202403,1243471,310868,932603,0.75
2038A40019,65,202603,664045,171417,492628,0.7419
6兄弟THE LIVEin博品館(出資),61,202203,11022102,8185089,2559740,0.2322
6兄弟THE LIVEin博品館(出資),62,202303,23301634,15983445,7318189,0.3141
6兄弟THE LIVEin博品館(出資),63,202403,0,-30000,30000,
6兄弟THE LIVEin博品館(出資),65,202603,13516120,10462688,2038214,0.1508
6兄弟THE LIVE地方(PKG),61,202203,585250,77500,507750,0.8676
6兄弟THE LIVE地方(PKG),62,202303,3842908,576432,1666849,0.4337
6兄弟THE LIVE地方(PKG),63,202403,97547161,59538295,37708866,0.3866
6兄弟THE LIVE地方(PKG),65,202603,2368400,2312076,56324,0.0238
IP製作グループ,61,202203,0,50229617,-50394297,
IP製作グループ,62,202303,0,49547143,-49809575,
IP製作グループ,63,202403,0,57930771,-58116245,
IP製作グループ,65,202603,0,45002594,-45002594,
LSS,61,202203,58435090,34564670,-64362500,-1.1014
LSS,62,202303,61973370,35387144,-82739232,-1.3351
LSS,63,202403,83162668,58047304,-85160502,-1.024
LSS,65,202603,9791180,69569200,-203691089,-20.8035
New Gen.THE LIVE(PKG),62,202303,1150000,591690,558310,0.4855
New Gen.THE LIVE(PKG),63,202403,22783714,17949875,4833839,0.2122
New Gen.THE LIVE(PKG),65,202603,0,100000,-100000,
New Gen.THE LIVE(出資),61,202203,32503900,26750937,2436645,0.075
New Gen.THE LIVE(出資),62,202303,60925798,67020781,-6094983,-0.1
New Gen.THE LIVE(出資),63,202403,39702145,32946580,4865761,0.1226
New Gen.THE LIVE(出資),65,202603,59414791,45237042,14177749,0.2386
TDGTHE LIVEin博品館(出資),61,202203,11472120,8621073,2851047,0.2485
TDGTHE LIVEin博品館(出資),63,202403,14040560,10299658,3740902,0.2664
TSUBURAYA CONVENTION2023,63,202403,14200000,9588591,4611409,0.3247
TSUBURAYA CONVENTION2023〈TDCホール〉,63,202403,63601574,46467128,17134446,0.2694
TSUBURAYA CONVENTION2023〈プリズムホール〉,63,202403,44310044,39300589,5009455,0.1131
TSUBURAYA CONVENTION2023〈東京ドームホテル〉,63,202403,59557467,50964527,8592940,0.1443
TSUBURAYA CONVENTION2023〈配信〉,63,202403,117273,4982511,-4865238,-41.4864
TSUBURAYA GALAXY,61,202203,1413598,1860013,-446415,-0.3158
TSUBURAYA imagination,61,202203,235829140,236171115,-341975,-0.0015
TSUBURAYA imagination,62,202303,430826988,417928905,12898083,0.0299
